"","x"
"1","Waste management"
"2","Furniture and general manufacturing"
"3","Machinery manufacturing"
"4","Transit and ground transportation"
"5","Banks"
"6","Electrical equipment manufacturing"
"7","Food and beverage manufacturing"
"8","Business, engineering and personal services"
"9","Semiconductor and electronic components manufacturing"
"10","IT services except telecom and hosting"
"11","Telephones and telecom equipment manufacturing"
"12","Power generation"
"13","Non-road transport equipment manufacturing"
"14","Refining, petrochemicals and basic organic chemicals"
"15","Real estate"
"16","HVAC equipment manufacturing"
"17","Water and sewage treatment"
"18","Cars and trucks manufacturing, including parts"
"19","Asset management"
"20","Grocery stores"
"21","Power transmission and distribution"
"22","Pharmaceutical and biotech manufacturing"
"23","Insurance companies"
"24","Packaging"
"25","Computers and peripherals manufacturing"
"26","Retail, except grocery and auto"
"27","Basic inorganic chemicals and synthetics"
"28","Telecom providers"
"29","Textiles and clothing manufacturing"
"30","Appliances and lighting fixtures manufacturing"
"31","Plastic and rubber product manufacturing"
"32","Glass and ceramics"
"33","Data processing, hosting services"
"34","Personal products (retail chemical)"
"35","Medical equipment manufacturing"
"36","Real estate and leasing"
"37","Metal and coal mining"
"38","Instrumentation and other electronic manufacturing"
